Image Area Perimeter Major Minor Circularity
A-1-1.tif 4006 261.4386 104.6116 48.7575 0.7365
A-1-2.tif 4242 264.9361 101.4103 53.2597 0.7594
A-1-3.tif 4375 262.6102 101.2499 55.0166 0.7972
A-1-4.tif 4408 272.6518 104.6824 53.614 0.7451
A-1-5.tif 4002 265.0955 105.3116 48.385 0.7156
A-1-6.tif 4467 274.6934 106.8759 53.2165 0.7439
A-1-7.tif NA NA NA NA NA
A-2-1.tif NA NA NA NA NA
A-2-2.tif NA NA NA NA NA
A-2-3.tif NA NA NA NA NA
A-3-1.tif NA NA NA NA NA
A-3-2.tif NA NA NA NA NA
A-3-3.tif NA NA NA NA NA
B-1-1.tif 4307 272.4092 107.3896 51.0649 0.7294
B-1-2.tif 4201 256.6102 98.3496 54.3864 0.8017
B-1-3.tif 4386 266.8944 102.0939 54.699 0.7737
B-1-4.tif 4430 272.3503 104.3463 54.0551 0.7505
B-1-5.tif 4322 270.6518 105.2606 52.2792 0.7414
B-1-6.tif 4253 265.3797 103.5651 52.2868 0.7589
B-2-1.tif 4099 257.2792 97.2052 53.6906 0.7782
B-2-2.tif 4221 265.865 101.9134 52.7344 0.7504
B-2-3.tif 4241 260.7939 99.9731 54.0126 0.7836
B-3-1.tif NA NA NA NA NA
B-3-2.tif NA NA NA NA NA
B-3-3.tif NA NA NA NA NA
B-4-1.tif NA NA NA NA NA
B-4-2.tif NA NA NA NA NA
B-4-3.tif NA NA NA NA NA
B-4-4.tif NA NA NA NA NA
C-1-1.tif 4706 279.5807 107.6836 55.6433 0.7566
C-1-2.tif 4293 263.0366 101.0505 54.0919 0.7797
C-1-3.tif 4496 269.4802 103.1626 55.4899 0.778
C-1-4.tif 4654 274.9361 103.1965 57.4211 0.7737
C-1-5.tif 4534 268.7939 102.7062 56.2076 0.7886
C-1-6.tif 4705 282.0071 108.444 55.2413 0.7434
C-1-7.tif NA NA NA NA NA
C-2-1.tif 4339 264.9361 101.0085 54.6943 0.7768
C-2-2.tif 4274 266.3503 102.5814 53.0489 0.7571
C-2-3.tif 4244 258.7939 98.183 55.0363 0.7963
C-3-1.tif NA NA NA NA NA
C-3-2.tif NA NA NA NA NA
C-3-3.tif NA NA NA NA NA
C-4-1.tif NA NA NA NA NA
C-4-2.tif NA NA NA NA NA
C-4-3.tif NA NA NA NA NA
C-4-4.tif NA NA NA NA NA
D-1-1.tif 4293 262.0244 101.5381 53.8322 0.7858
D-1-2.tif 4131 260.1665 100.8564 52.1509 0.7669
D-1-3.tif 4540 271.2376 101.9855 56.6797 0.7755
D-1-4.tif 4299 268.066 103.2733 53.0016 0.7518
D-1-5.tif 4382 264.9533 102.6253 54.3661 0.7844
D-1-6.tif NA NA NA NA NA
D-1-7.tif NA NA NA NA NA
D-2-1.tif 4181 256.8528 99.0047 53.7693 0.7964
D-2-2.tif 4085 254.8528 97.4891 53.3514 0.7904
D-2-3.tif NA NA NA NA NA
D-3-1.tif 4058 256.1076 97.6482 52.9124 0.7775
D-3-2.tif 2720 218.066 87.2412 39.697 0.7188
D-3-3.tif 3891 247.7229 94.2109 52.586 0.7968
D-4-1.tif NA NA NA NA NA
D-4-2.tif NA NA NA NA NA
D-4-3.tif NA NA NA NA NA
